Participant,Format,FixationIndex,FixationDuration,treebg,treetotal,treerainy,treesunny,treerl,treerh,treesl,treesh,treequestion,vennbg,vennrh,vennrl,vennsl,venntotal,vennquestion
6,tree,35,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,36,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,37,119,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,38,100,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,39,133,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,40,100,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,41,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,42,150,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,43,268,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,44,117,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,45,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,46,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,47,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,48,117,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,49,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,50,102,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,51,120,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,52,100,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,53,121,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,54,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,55,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,56,167,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,57,234,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,58,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,59,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,60,133,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,61,318,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,62,102,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,63,234,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
6,tree,64,134,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,65,117,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,66,234,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,67,234,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,68,133,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
6,tree,69,236,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,70,233,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
6,tree,71,200,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,1,106,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
7,tree,2,90,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
